Country,22k Gold Rate,USD rates
Bahrain,BHD233,613.1578947368421
Kuwait,KWD190,612.9032258064516
Malaysia,MYR2840,639.6396396396395
Oman,OMR242.50,638.1578947368421
Qatar,QAR2285,627.7472527472527
Saudi Arabia,SAR2290,610.6666666666666
Singapore,SGD826,616.4179104477612
United Arab Emirates,AED2227.50,606.9482288828337
United States,USD615,615.0
Abu Dhabi,AED2227.50,606.9482288828337
Ajman,AED2227.50,606.9482288828337
Dubai,AED2227.50,606.9482288828337
Fujairah,AED2227.50,606.9482288828337
Ras al Khaimah,AED2227.50,606.9482288828337
Sharjah,AED2227.50,606.9482288828337
Doha,QAR2285,627.7472527472527
Muscat,OMR242.50,638.1578947368421
Dammam,SAR2290,610.6666666666666
