Item Name,Price
"APPLE iPhone 13 (Midnight, 128 GB)",61999
"APPLE iPhone 13 (Green, 128 GB)",61999
"APPLE iPhone 13 (Pink, 128 GB)",61999
"APPLE iPhone 13 (Blue, 128 GB)",61999
"APPLE iPhone 13 (Starlight, 128 GB)",61999
"APPLE iPhone 14 (Midnight, 128 GB)",71999
"APPLE iPhone 14 (Blue, 128 GB)",71999
"APPLE iPhone 14 Plus (Purple, 128 GB)",77999
"APPLE iPhone 14 ((PRODUCT)RED, 128 GB)",67999
"APPLE iPhone 14 Plus (Starlight, 128 GB)",77999
"APPLE iPhone 11 (White, 128 GB)",44999
"APPLE iPhone 13 (Pink, 256 GB)",71999
"APPLE iPhone 13 (Green, 256 GB)",71999
"APPLE iPhone 13 (Midnight, 256 GB)",71999
"APPLE iPhone 14 Plus (Blue, 128 GB)",77999
"APPLE iPhone 13 (Starlight, 256 GB)",71999
"APPLE iPhone 14 Plus ((PRODUCT)RED, 128 GB)",75999
"APPLE iPhone 11 (Black, 128 GB)",44999
"APPLE iPhone 11 (Black, 64 GB)",40999
"APPLE iPhone 14 (Midnight, 256 GB)",81999
"APPLE iPhone 13 (Blue, 256 GB)",71999
"APPLE iPhone 14 Pro (Space Black, 128 GB)",119999
"APPLE iPhone 14 (Purple, 256 GB)",81999
"APPLE iPhone 12 (White, 64 GB)",53999
"APPLE iPhone 13 ((PRODUCT)RED, 128 GB)",61999
"APPLE iPhone 12 (Blue, 64 GB)",53999
"APPLE iPhone 11 (White, 64 GB)",40999
"APPLE iPhone 14 Pro Max (Space Black, 128 GB)",127999
"APPLE iPhone 14 (Starlight, 128 GB)",71999
"APPLE iPhone 14 (Yellow, 128 GB)",71999
"APPLE iPhone 14 ((PRODUCT)RED, 256 GB)",81999
"APPLE iPhone 12 (Red, 64 GB)",53999
"APPLE iPhone 12 (Black, 64 GB)",53999
"APPLE iPhone 14 Pro Max (Gold, 128 GB)",127999
"APPLE iPhone 14 Plus ((PRODUCT)RED, 256 GB)",87999
"APPLE iPhone 14 Pro (Gold, 128 GB)",119999
"APPLE iPhone 14 Pro (Silver, 128 GB)",119999
"APPLE iPhone 12 (Red, 128 GB)",56999
"APPLE iPhone 14 Plus (Midnight, 128 GB)",77999
"APPLE iPhone 14 (Blue, 256 GB)",81999
"APPLE iPhone 11 (Red, 128 GB)",46999
"APPLE iPhone 14 Pro Max (Silver, 128 GB)",127999
"APPLE iPhone 14 (Purple, 128 GB)",71999
"APPLE iPhone 13 ((PRODUCT)RED, 256 GB)",71999
"APPLE iPhone 13 Pro Max (Gold, 512 GB)",134999
"APPLE iPhone 14 Pro (Deep Purple, 256 GB)",129999
"APPLE iPhone 13 (Blue, 512 GB)",91999
"APPLE iPhone 13 mini (Green, 128 GB)",61999
"APPLE iPhone 14 Pro Max (Space Black, 256 GB)",137999
"APPLE iPhone 14 Pro (Deep Purple, 128 GB)",119999
"APPLE iPhone 14 Pro Max (Gold, 512 GB)",157999
"APPLE iPhone 12 (Black, 256 GB)",66999
